baseMean log2FoldChange lfcSE stat pvalue padj Ascl1_motif
1110012L19Rik 18.2425581873942 -0.219571137068407 0.360370795945832 -0.609292261022759 0.542330735820631 0.834609743925079 0
1110015O18Rik 0 NA NA NA NA NA 0
1110017D15Rik 0.169495012166948 -2.14215890664518 5.23714529000303 -0.409031788889696 0.682516332585145 NA 0
1110019D14Rik 2.16561318358362 -0.573577485126241 1.3038520329039 -0.43990995193587 0.660002327703375 NA 0
1110020A21Rik 0.489382576029702 0.265579931466931 4.78810289446464 0.0554666299619331 0.95576671443961 NA 0
1110025L11Rik 0 NA NA NA NA NA 0
1110028F11Rik 0 NA NA NA NA NA 0
1110028F18Rik 0 NA NA NA NA NA 0
1110032A03Rik 1.94302531570118 0.265644179943655 1.3068049596762 0.203277603116441 0.838918060190154 NA 0
1110032F04Rik 0.0598919897894584 -1.28123307419739 5.26764854491342 -0.243226757304183 0.807829739808578 NA 0
1110034G24Rik 6.07280613317962 -0.509087020228596 0.729776398809308 -0.697593154641907 0.485431663764702 0.79735512145141 0
1110036E04Rik 0 NA NA NA NA NA 0
1110037F02Rik 17.7176288153464 0.22481162772921 0.35449144216747 0.634180690948821 0.52596290741447 0.823584027100316 0
1110038B12Rik 305.012407181231 -0.817213713194159 0.125294721938945 -6.5223315120359 6.92228042499748e-11 4.47640800816503e-09 0
1110038F14Rik 41.3289883962014 -0.230893498555398 0.225284938468926 -1.02489540634447 0.305412542348752 0.654158224368315 0
1110046J04Rik 0 NA NA NA NA NA 0
1110051M20Rik 3.9571283444133 0.545353924075924 0.835131315029485 0.6530157763952 0.513746107788472 0.817034481875105 0
1110058D11Rik 0 NA NA NA NA NA 0
1110059E24Rik 25.1631819805563 -0.922044357512454 0.319352516879569 -2.88723059558715 0.003886492767226 0.0277068342858222 0
1110059G10Rik 2.60102464779003 -0.679345841855095 1.12106652054256 -0.605981740964234 0.544526878054895 NA 0
1110065P20Rik 19.3438373570528 -0.298561875228163 0.327699998846995 -0.911082930359005 0.362251679636198 0.706547892551066 0
1190002F15Rik 6.71606857729568 -0.873882086702642 0.678893413087935 -1.28721544480422 0.198019205433307 0.51185099432569 0
1190002N15Rik 5.6648019412018 0.324992219812354 0.690491631772769 0.470667861648039 0.637877938292038 0.884878968655451 0
1190003K10Rik 0 NA NA NA NA NA 0
1190005I06Rik 13.9810978830654 -0.309068668625109 0.519336047501079 -0.595122695819543 0.551761458792276 0.841860940640557 0
1190007I07Rik 30.8847359735707 -1.10357554699682 0.279337282701139 -3.95069192456322 7.79255794280979e-05 0.00102677085726213 0
1200014J11Rik 13.9574098212779 0.15538756003916 0.403783654318887 0.384828752667742 0.700364295054605 0.91567560113391 0
1300002E11Rik 6.91084406864951 -0.9364403443576 0.684089151171655 -1.36888641305558 0.171034783493849 0.469303387269609 0
1300017J02Rik 0 NA NA NA NA NA 0
1500004A13Rik 1.62292662883834 0.688650238581037 1.46332465797424 0.470606597673528 0.637921695262499 NA 0
1500009C09Rik 0 NA NA NA NA NA 0
1500009L16Rik 35.3826712421211 -1.4862933431732 0.226813545423624 -6.55293025113303 5.64188726061411e-11 3.75494365272113e-09 0
1500011B03Rik 7.01962175546134 -0.603962858171515 0.651753493276821 -0.926673756875428 0.354095947064412 0.699563684696039 0
1500011K16Rik 13.0827512123482 -1.66471885182114 0.534295169721877 -3.11572880714549 0.0018349093561006 0.0149648510813285 0
1500012F01Rik 107.066698343717 -1.33604614948902 0.223036165210572 -5.99026686200256 2.09496992755209e-09 9.22798830889852e-08 0
1500012K07Rik 0 NA NA NA NA NA 0
1500015A07Rik 2.37004028813651 0.265689019060512 1.16984161448466 0.227115376791886 0.820334027500949 NA 0
1500015L24Rik 0 NA NA NA NA NA 0
1500015O10Rik 0.917033138175014 -0.878414121104101 2.24905460771478 -0.390570383702973 0.696114820567972 NA 0
1500017E21Rik 0 NA NA NA NA NA 0
1500026H17Rik 0 NA NA NA NA NA 0
1600002D24Rik 0 NA NA NA NA NA 0
1600002H07Rik 8.11573970867403 0.0159607284846967 0.570352760880922 0.0279839593658582 0.977674944709043 0.994246225602606 0
1600002K03Rik 10.9529092245909 -1.03190208960235 0.501310921404247 -2.05840735867442 0.0395510459466923 0.17230121210795 0
1600010M07Rik 0 NA NA NA NA NA 0
1600012H06Rik 3.90104682703007 0.444493057783915 0.856091162979913 0.519212295378342 0.603612705819031 0.868325336986429 0
1600014C10Rik 2.21992779712951 -0.113438258077834 1.19598471676858 -0.0948492539138226 0.924434564221734 NA 0
1600014C23Rik 0 NA NA NA NA NA 0
1600014K23Rik 0.143943098160321 2.12414479781692 5.20140972996046 0.408378671955357 0.682995689207928 NA 0
1600015I10Rik 0 NA NA NA NA NA 0
1600019K03Rik 0 NA NA NA NA NA 0
1600020E01Rik 9.39240445515881 -1.74621490876396 0.613589575803762 -2.84590054594153 0.00442860239519894 0.0308479729865729 0
1600023N17Rik 0 NA NA NA NA NA 0
1600025M17Rik 0 NA NA NA NA NA 0
1600027J07Rik 0 NA NA NA NA NA 0
1600029I14Rik 0 NA NA NA NA NA 0
1600029O15Rik 0 NA NA NA NA NA 0
1700001C02Rik 0 NA NA NA NA NA 0
1700001C19Rik 0.143943098160321 2.12414479781692 5.20140972996046 0.408378671955357 0.682995689207928 NA 0
1700001D01Rik 0 NA NA NA NA NA 0
1700001F09Rik 0 NA NA NA NA NA 0
1700001G01Rik 0 NA NA NA NA NA 0
1700001G11Rik 0.0592751597091447 0 5.26764854491342 0 1 NA 0
1700001G17Rik 0 NA NA NA NA NA 0
1700001J03Rik 0 NA NA NA NA NA 0
1700001J11Rik 0 NA NA NA NA NA 0
1700001K19Rik 0 NA NA NA NA NA 0
1700001K23Rik 0 NA NA NA NA NA 0
1700001L05Rik 5.61351306475621 -0.908071290037087 0.781441736349247 -1.16204605896715 0.245216756350486 0.579245177306667 0
1700001L19Rik 0 NA NA NA NA NA 0
1700001O22Rik 0.601021161195138 -0.924743317605776 3.39778225955482 -0.272160852863755 0.785498340923166 NA 0
1700001P01Rik 1.80299601312235 -1.65876979302711 1.66044342974176 -0.998992054360493 0.317798540367432 NA 0
1700003C15Rik 0 NA NA NA NA NA 0
1700003D09Rik 0 NA NA NA NA NA 0
1700003E16Rik 0.323587590135864 -0.319735673036795 5.13429003640718 -0.0622745639162482 0.95034418420578 NA 0
1700003E24Rik 0 NA NA NA NA NA 0
1700003F12Rik 0 NA NA NA NA NA 0
1700003G13Rik 0 NA NA NA NA NA 0
1700003G18Rik 0 NA NA NA NA NA 0
1700003H04Rik 0 NA NA NA NA NA 0
1700003I22Rik 0 NA NA NA NA NA 0
1700003L19Rik 0 NA NA NA NA NA 0
1700003M02Rik 0 NA NA NA NA NA 0
1700003M07Rik 0.735722355547829 0.408957231818554 2.70789700995894 0.151023923847368 0.879956843846066 NA 0
1700003P14Rik 0 NA NA NA NA NA 0
