baseMean log2FoldChange lfcSE stat pvalue padj NeuroD1_motif
1700020I14Rik 25.7081809008801 0.230910328544418 0.250257271922023 0.925355150055261 0.354781200173248 NA 0
1700020L24Rik 1.06267119679989 0.0341850404706844 0.203052740754375 0.144611817058507 0.885017366652476 NA 0
1700020M21Rik 0 NA NA NA NA NA 0
1700020N01Rik 1.01994305756976 -0.01272547213006 0.189044601022777 -0.0650884478571943 0.948103578203346 NA 0
1700020N15Rik 1.43185856999126 -0.119373673058151 0.221721926378875 -0.525670552893003 0.599117127086896 NA 0
1700020N18Rik 0 NA NA NA NA NA 0
1700021F05Rik 41.5700529453876 -0.600171926677854 0.244550883419271 -2.4337892090325 0.0149416936193588 NA 0
1700021F07Rik 0 NA NA NA NA NA 0
1700021K19Rik 4.43306169303741 0.104438857612679 0.320508109683975 0.350761242734224 0.725767475828689 NA 0
1700021N21Rik 0 NA NA NA NA NA 0
1700022A21Rik 0 NA NA NA NA NA 0
1700022A22Rik 0 NA NA NA NA NA 0
1700022E09Rik 0 NA NA NA NA NA 0
1700022H01Rik 0 NA NA NA NA NA 0
1700022H16Rik 0 NA NA NA NA NA 0
1700022I11Rik 0 NA NA NA NA NA 0
1700023C21Rik 0 NA NA NA NA NA 0
1700023F02Rik 0 NA NA NA NA NA 0
1700023F06Rik 1.40019549821331 -0.021844393158659 0.22656291456744 -0.0954475949024582 0.923959313344222 NA 0
1700024B18Rik 0 NA NA NA NA NA 0
1700024F13Rik 0.364745606983687 0.0277168844148227 0.0814698739956327 0.327227303598425 0.74349597135365 NA 0
1700024G13Rik 0.509838694311445 0.0420226941735071 0.0815124403953962 0.231808153500272 0.81668702395831 NA 0
1700024I08Rik 0 NA NA NA NA NA 0
1700024N05Rik 0 NA NA NA NA NA 0
1700024P04Rik 0 NA NA NA NA NA 0
1700024P16Rik 0 NA NA NA NA NA 0
1700025B11Rik 0 NA NA NA NA NA 0
1700025C18Rik 0 NA NA NA NA NA 0
1700025F22Rik 0 NA NA NA NA NA 0
1700025F24Rik 0 NA NA NA NA NA 0
1700025G04Rik 1.52404189164029 -0.0173355067044734 0.235425874904733 -0.0782800779118294 0.937605264351068 NA 0
1700025J12Rik 0 NA NA NA NA NA 0
1700025K24Rik 0 NA NA NA NA NA 0
1700025M24Rik 0 NA NA NA NA NA 0
1700025N23Rik 0 NA NA NA NA NA 0
1700026D08Rik 0 NA NA NA NA NA 0
1700026D11Rik 0 NA NA NA NA NA 0
1700026F02Rik 0 NA NA NA NA NA 0
1700026J14Rik 0 NA NA NA NA NA 0
1700026L06Rik 0.321822813047019 0 0.0814698739956327 0 1 NA 0
1700027A15Rik 0.049090664111819 0 0.0814698739956327 0 1 NA 0
1700027F06Rik 0 NA NA NA NA NA 0
1700027F09Rik 0 NA NA NA NA NA 0
1700027H10Rik 0 NA NA NA NA NA 0
1700027I24Rik 0 NA NA NA NA NA 0
1700027J07Rik 0 NA NA NA NA NA 0
1700028B04Rik 0.812857915605761 -0.0111678115302152 0.166221102713893 -0.0579996655267423 0.953748894950874 NA 0
1700028D13Rik 0 NA NA NA NA NA 0
1700028E10Rik 0 NA NA NA NA NA 0
1700028I16Rik 0.225175226019564 0.0425911803296598 0.0814698739956327 0.444468604429438 0.656703822668922 NA 0
