Gene_id	Empty_ASV_2h_1	Empty_ASV_2h_2	Empty_ASV_2h_3	Empty_ASV_4h_1	Empty_ASV_4h_2	Empty_ASV_4h_3	Empty_DMSO_2h_1	Empty_DMSO_2h_2	Empty_DMSO_2h_3	Empty_DMSO_4h_1	Empty_DMSO_4h_2	Empty_DMSO_4h_3	Ascl1_ASV_2h_1	Ascl1_ASV_2h_2	Ascl1_ASV_2h_3	Ascl1_ASV_4h_1	Ascl1_ASV_4h_2	Ascl1_ASV_4h_3	Ascl1_DMSO_2h_1	Ascl1_DMSO_2h_2	Ascl1_DMSO_2h_3	Ascl1_DMSO_4h_1	Ascl1_DMSO_4h_2	Ascl1_DMSO_4h_3
Serpinb3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb3d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb6a	64	0	11	55	37	0	0	13	0	2	11	0	4	4	0	54	2	5	16	49	9	4	1	6
Serpinb6b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb6c	2	0	2	1	1	0	0	0	0	0	3	0	0	4	0	7	0	0	0	2	0	0	0	1
Serpinb6d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb6e	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Serpinb7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb8	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Serpinb9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Serpinb9b	6	0	1	11	10	0	0	0	0	0	0	0	2	0	0	13	2	0	5	9	2	0	1	0
Serpinb9c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb9d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb9e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb9f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb9g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb9h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinc1	6	0	2	21	7	0	0	1	0	0	1	0	2	2	0	1	1	2	7	8	0	1	1	1
Serpind1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpine1	6	0	4	30	20	0	0	4	0	0	4	0	12	3	0	20	3	2	12	28	7	3	8	8
Serpine2	12	7	13	62	38	0	0	1	1	10	5	0	3	5	0	28	0	0	17	11	2	2	5	1
